displayName,Average SITR,Total SITR,tackleOpportunities,position
A.J. Terrell,1.153087,18.449396,16.0,DB
Adoree' Jackson,1.727261,34.545215,20.0,DB
Adrian Amos,2.068171,22.749881,11.0,DB
Adrian Phillips,1.678014,26.848228,16.0,DB
Ahkello Witherspoon,1.380964,19.333499,14.0,DB
Ahmad Gardner,1.473317,16.206487,11.0,DB
Amani Hooker,0.030324,0.454857,15.0,DB
Amani Oruwariye,1.26779,25.355802,20.0,DB
Amik Robertson,0.671554,7.387095,11.0,DB
Andre Cisco,1.718458,17.18458,10.0,DB
Anthony Brown,3.883124,66.013108,17.0,DB
Antoine Winfield,3.076562,58.454678,19.0,DB
Arthur Maulet,1.296658,15.559899,12.0,DB
Asante Samuel,1.889717,34.014911,18.0,DB
Avonte Maddox,0.694584,9.724177,14.0,DB
Benjamin St-Juste,1.025567,18.460206,18.0,DB
Bobby McCain,0.691009,8.983119,13.0,DB
Bradley Roby,1.023593,17.401084,17.0,DB
Brandon Jones,1.409938,23.968946,17.0,DB
Brandon Stephens,1.872171,14.977369,8.0,DB
Bryce Callahan,1.864746,20.512201,11.0,DB
Budda Baker,2.285331,52.562603,23.0,DB
Byron Murphy,1.380311,13.803112,10.0,DB
C.J. Henderson,2.666398,45.328768,17.0,DB
Caden Sterns,0.557443,5.016986,9.0,DB
Caleb Farley,3.24483,32.448297,10.0,DB
Cameron Dantzler,2.72482,57.221224,21.0,DB
Cameron Sutton,1.139252,21.64579,19.0,DB
Camryn Bynum,0.226866,3.402988,15.0,DB
Carlton Davis,1.74611,36.668316,21.0,DB
Casey Hayward,1.267481,19.012222,15.0,DB
Chandon Sullivan,0.969049,9.690487,10.0,DB
Chauncey Gardner-Johnson,1.295536,29.797339,23.0,DB
Chidobe Awuzie,2.655477,45.143111,17.0,DB
Chuck Clark,0.942075,17.89942,19.0,DB
Coby Bryant,1.924182,15.393455,8.0,DB
D.J. Reed,1.884899,26.38858,14.0,DB
Damar Hamlin,2.325578,32.558092,14.0,DB
Dane Jackson,1.818129,16.363162,9.0,DB
Darious Williams,-0.642339,-6.423385,10.0,DB
Darius Slay,2.518904,25.189043,10.0,DB
Darnay Holmes,1.527467,12.219738,8.0,DB
Darnell Savage,2.559314,25.593139,10.0,DB
Daron Bland,0.337636,2.701087,8.0,DB
Darrick Forrest,2.340266,35.103992,15.0,DB
David Long,1.483389,43.018267,29.0,DB
DeShon Elliott,2.380703,49.994754,21.0,DB
Denzel Ward,2.087084,29.219178,14.0,DB
Deommodore Lenoir,0.541897,5.418968,10.0,DB
Derek Stingley,1.644843,29.607179,18.0,DB
Derion Kendrick,0.737061,10.31886,14.0,DB
Derwin James,3.127214,43.780998,14.0,DB
Desmond King,1.573658,23.604873,15.0,DB
Devin McCourty,0.678946,9.505244,14.0,DB
Donovan Wilson,1.441346,40.357675,28.0,DB
Donte Jackson,1.85249,20.377393,11.0,DB
Duron Harmon,3.095674,27.861068,9.0,DB
Eddie Jackson,1.935292,29.029385,15.0,DB
Eli Apple,1.570681,17.277486,11.0,DB
Emmanuel Moseley,1.408837,19.723721,14.0,DB
Eric Rowe,2.5488,38.231995,15.0,DB
Eric Stokes,1.506437,21.090121,14.0,DB
Grant Delpit,1.727344,32.819535,19.0,DB
Grant Haley,1.054259,10.542587,10.0,DB
Greg Newsome,1.607329,20.895279,13.0,DB
Harrison Smith,2.059329,45.305249,22.0,DB
Isaiah Simmons,1.950829,21.459121,11.0,DB
J.C. Jackson,1.444251,14.442513,10.0,DB
Jabrill Peppers,2.612947,26.129475,10.0,DB
Jace Whittaker,-0.157617,-1.891404,12.0,DB
Jack Jones,1.185413,13.039545,11.0,DB
Jaire Alexander,2.488693,27.37562,11.0,DB
Jalen Mills,1.463396,17.560749,12.0,DB
Jalen Pitre,0.760364,17.488379,23.0,DB
Jalen Ramsey,1.812703,30.815956,17.0,DB
Jalen Thompson,2.758804,55.176081,20.0,DB
Jamel Dean,1.99807,27.972982,14.0,DB
James Bradberry,0.239349,3.829587,16.0,DB
Jaquan Brisker,0.932422,26.107816,28.0,DB
Jaycee Horn,1.098237,15.375318,14.0,DB
Jaylen Watson,2.500694,42.5118,17.0,DB
Jaylinn Hawkins,0.185559,2.783378,15.0,DB
Jeff Okudah,1.771464,40.743681,23.0,DB
Jeremy Chinn,1.793478,30.489128,17.0,DB
Jessie Bates,2.423645,21.812806,9.0,DB
Jevon Holland,1.354452,17.607881,13.0,DB
John Johnson,2.260945,45.218896,20.0,DB
Johnathan Abram,2.001862,46.04282,23.0,DB
Jonathan Jones,0.838211,10.896739,13.0,DB
Jonathan Owens,1.03118,24.748331,24.0,DB
Jordan Fuller,0.825027,6.600212,8.0,DB
Jordan Poyer,1.39223,11.137839,8.0,DB
Jordan Whitehead,0.500951,8.015212,16.0,DB
Josh Jones,1.223792,29.371016,24.0,DB
Josh Jones,1.223792,29.371016,24.0,DB
Josh Metellus,1.501581,19.520549,13.0,DB
Jourdan Lewis,2.269121,31.767699,14.0,DB
Juan Thornhill,1.143074,10.287663,9.0,DB
Juju Hughes,0.387494,3.099954,8.0,DB
Julian Love,0.952705,11.432456,12.0,DB
Justin Evans,1.497175,14.971747,10.0,DB
Justin Reid,1.547586,15.475855,10.0,DB
K'Waun Williams,1.681621,23.542691,14.0,DB
Kader Kohou,2.989692,44.845386,15.0,DB
Kaiir Elam,3.491266,34.912662,10.0,DB
Kareem Jackson,1.204259,15.655361,13.0,DB
Keisean Nixon,1.643375,13.147004,8.0,DB
Kendall Fuller,1.818112,27.271674,15.0,DB
Kenny Moore,0.630594,10.720101,17.0,DB
Kevin Byard,1.660428,23.245995,14.0,DB
Kindle Vildor,0.679112,5.432899,8.0,DB
Kristian Fulton,0.684779,9.586908,14.0,DB
Kyle Dugger,1.766667,14.133338,8.0,DB
Kyler Gordon,0.09961,2.68948,27.0,DB
L'Jarius Sneed,2.352531,61.165803,26.0,DB
Lamarcus Joyner,0.630884,5.67796,9.0,DB
Levi Wallace,3.511717,35.117167,10.0,DB
Malik Hooker,1.083263,11.915895,11.0,DB
Marco Wilson,0.461754,6.002797,13.0,DB
Marcus Epps,2.525892,37.888376,15.0,DB
Marcus Maye,2.089815,18.808331,9.0,DB
Marcus Peters,0.935741,8.421672,9.0,DB
Marcus Williams,0.993208,21.850575,22.0,DB
