displayName,Average SITR,Total SITR,tackleOpportunities,position
A'Shawn Robinson,0.345686,4.148234,12.0,DL
Aaron Donald,1.341627,28.17417,21.0,DL
Abdullah Anderson,0.319921,2.879288,9.0,DL
Adam Gotsis,0.727404,6.546637,9.0,DL
Aidan Hutchinson,-0.150795,-2.563517,17.0,DL
Al Woods,1.670947,25.064206,15.0,DL
Al-Quadin Muhammad,0.473118,5.204296,11.0,DL
Alex Wright,0.245987,2.213885,9.0,DL
Alim McNeill,-0.195925,-3.330717,17.0,DL
Andrew Billings,0.503869,7.558034,15.0,DL
Angelo Blackson,0.113124,1.923108,17.0,DL
Austin Johnson,0.118024,1.77036,15.0,DL
B.J. Hill,-0.650958,-5.858625,9.0,DL
Bilal Nichols,0.668139,5.345115,8.0,DL
Broderick Washington,0.925971,7.407766,8.0,DL
Bryan Mone,0.553275,6.086024,11.0,DL
Calais Campbell,0.892151,8.029361,9.0,DL
Cameron Heyward,0.541751,9.751523,18.0,DL
Cameron Jordan,0.486904,11.198786,23.0,DL
Carl Davis,0.10004,0.900361,9.0,DL
Carl Granderson,0.542648,5.969126,11.0,DL
Carl Lawson,-0.355666,-2.845325,8.0,DL
Chandler Jones,0.464411,5.108526,11.0,DL
Chris Jones,0.257376,5.404898,21.0,DL
Chris Wormley,0.675875,9.462256,14.0,DL
Christian Wilkins,2.071867,35.221735,17.0,DL
D.J. Davidson,-0.172964,-1.383709,8.0,DL
D.J. Jones,0.723783,13.028102,18.0,DL
D.J. Reader,0.61826,6.182595,10.0,DL
Dalvin Tomlinson,0.31151,4.672646,15.0,DL
Daron Payne,0.121773,2.070143,17.0,DL
David Onyemata,0.577789,6.933474,12.0,DL
Davon Godchaux,0.064443,1.095538,17.0,DL
Davon Hamilton,0.635328,9.529917,15.0,DL
DeForest Buckner,0.116612,1.749186,15.0,DL
DeShawn Williams,-0.396161,-4.753927,12.0,DL
Dean Lowry,0.536755,5.904305,11.0,DL
Deatrich Wise,0.382218,4.968831,13.0,DL
Demarcus Lawrence,1.165084,10.485757,9.0,DL
Derrick Brown,0.133872,1.874215,14.0,DL
Derrick Nnadi,-0.126829,-1.01463,8.0,DL
Dorance Armstrong,0.024131,0.386098,16.0,DL
Dre'Mont Jones,2.540556,22.865,9.0,DL
Emmanuel Ogbah,0.046731,0.373846,8.0,DL
Fletcher Cox,0.005922,0.076982,13.0,DL
Folorunso Fatukasi,1.629233,21.180027,13.0,DL
Frank Clark,0.116529,1.048762,9.0,DL
Grady Jarrett,0.358297,9.315727,26.0,DL
Greg Gaines,0.808657,12.129852,15.0,DL
Gregory Rousseau,0.171271,1.541443,9.0,DL
Grover Stewart,0.700409,20.311847,29.0,DL
Harrison Phillips,-0.137766,-2.20426,16.0,DL
Hassan Ridgeway,1.734139,13.873109,8.0,DL
Henry Anderson,0.85755,8.575502,10.0,DL
Isaac Rochell,1.131094,11.310935,10.0,DL
Isaiah Buggs,0.816521,10.614774,13.0,DL
J.J. Watt,0.170044,1.700442,10.0,DL
Jarran Reed,-0.063465,-0.634648,10.0,DL
Javon Hargrave,0.318849,3.188487,10.0,DL
Javon Kinlaw,0.346402,3.117615,9.0,DL
Jeffery Simmons,0.366643,6.599567,18.0,DL
Jermaine Johnson,2.230881,17.847051,8.0,DL
Jerry Hughes,-0.508333,-8.133322,16.0,DL
Jerry Tillery,0.086168,0.689342,8.0,DL
John Franklin-Myers,2.234186,24.576044,11.0,DL
Jonathan Allen,0.506765,8.10824,16.0,DL
Jonathan Bullard,1.063646,10.636462,10.0,DL
Jonathan Greenard,0.866641,14.732902,17.0,DL
Jordan Davis,0.487137,4.384237,9.0,DL
Josh Sweat,1.456566,27.674757,19.0,DL
Justin Ellis,-0.033907,-0.33907,10.0,DL
Justin Jones,0.108981,2.506553,23.0,DL
Justin Madubuike,0.75099,10.513864,14.0,DL
Kenny Clark,0.913475,17.356019,19.0,DL
Kentavius Street,-0.215116,-1.936047,9.0,DL
Kevin Givens,0.203454,1.627636,8.0,DL
Kevin Strong,0.915132,9.15132,10.0,DL
Kurt Hinish,-0.361706,-3.978761,11.0,DL
Kwity Paye,0.815738,12.236066,15.0,DL
Larry Ogunjobi,-0.204298,-3.064471,15.0,DL
