displayName,Average SITR,Total SITR,tackleOpportunities,position
Adetokunbo Ogundeji,0.483197,9.180742,19.0,LB
Akeem Davis-Gaither,2.317131,18.537045,8.0,LB
Alex Anzalone,1.79183,50.171235,28.0,LB
Alex Highsmith,1.332133,25.31053,19.0,LB
Alex Singleton,1.511479,13.603313,9.0,LB
Anthony Barr,0.799464,12.791431,16.0,LB
Anthony Walker,1.959723,17.637506,9.0,LB
Baron Browning,0.091204,0.820833,9.0,LB
Bobby Okereke,3.429262,68.58524,20.0,LB
Bobby Wagner,0.780853,16.397915,21.0,LB
Boye Mafe,0.883486,11.485318,13.0,LB
Bradley Chubb,-0.170731,-1.707305,10.0,LB
Brian Burns,1.573931,26.756829,17.0,LB
C.J. Mosley,1.14028,27.366731,24.0,LB
Charles Harris,0.162418,2.598696,16.0,LB
Chris Board,-0.299019,-2.990187,10.0,LB
Christian Kirksey,1.28275,25.655004,20.0,LB
Cody Barton,2.164552,56.278361,26.0,LB
Cole Holcomb,2.605566,41.689062,16.0,LB
Cory Littleton,0.88788,8.878797,10.0,LB
D.J. Wonnum,0.818588,8.185876,10.0,LB
Danielle Hunter,1.479938,26.638881,18.0,LB
Darrell Taylor,-0.247495,-4.207417,17.0,LB
David Long,1.483389,43.018267,29.0,LB
De'Vondre Campbell,1.698299,40.759168,24.0,LB
Demario Davis,1.075139,20.427632,19.0,LB
Devin Bush,2.882395,34.588737,12.0,LB
Devin Lloyd,1.332275,39.968257,30.0,LB
Devin White,2.018146,38.344781,19.0,LB
Divine Deablo,0.971886,15.550179,16.0,LB
Dre Greenlaw,1.897343,49.330913,26.0,LB
Drue Tranquill,1.836622,36.732435,20.0,LB
Duke Riley,2.338314,23.383137,10.0,LB
Dylan Cole,0.006832,0.061488,9.0,LB
E.J. Speed,1.834264,23.84543,13.0,LB
Elandon Roberts,1.587908,19.054898,12.0,LB
Eric Kendricks,1.269816,21.586879,17.0,LB
Ernest Jones,1.208574,20.545758,17.0,LB
Foyesade Oluokun,1.72115,41.307591,24.0,LB
Frankie Luvu,2.012672,64.405489,32.0,LB
Fred Warner,0.8856,11.5128,13.0,LB
Germaine Pratt,1.924433,36.564222,19.0,LB
Haason Reddick,1.640141,24.602113,15.0,LB
Ja'Whaun Bentley,0.337772,5.066576,15.0,LB
Jacob Phillips,1.341122,17.434584,13.0,LB
Jaelan Phillips,-0.541979,-7.587708,14.0,LB
Jahlani Tavai,1.668611,13.348891,8.0,LB
Jamin Davis,0.863879,12.958181,15.0,LB
Jayon Brown,1.493973,26.891514,18.0,LB
Jeremiah Owusu-Koramoah,0.532449,9.584085,18.0,LB
Jerome Baker,2.517002,47.823041,19.0,LB
Jihad Ward,2.468682,24.686823,10.0,LB
Joe Tryon,1.123586,16.853794,15.0,LB
Jonas Griffith,3.46616,41.593916,12.0,LB
Jordan Hicks,1.950072,52.651941,27.0,LB
Jordyn Brooks,1.667445,51.690799,31.0,LB
Josey Jewell,0.929725,20.453941,22.0,LB
Josh Allen,-0.053489,-0.748843,14.0,LB
Josh Allen,-0.053489,-0.748843,14.0,LB
Josh Bynes,0.595299,11.310672,19.0,LB
Justin Hollins,1.297732,9.084126,7.0,LB
Kamu Grugier-Hill,3.195736,67.110462,21.0,LB
Kenneth Murray,1.607919,19.295031,12.0,LB
Khalil Mack,3.313411,26.507288,8.0,LB
Kwon Alexander,2.102588,29.436225,14.0,LB
Kyle Van Noy,0.71316,7.131599,10.0,LB
Kyzir White,1.958792,33.299459,17.0,LB
Lavonte David,2.059687,45.313118,22.0,LB
Leighton Vander Esch,1.367203,25.976858,19.0,LB
Logan Wilson,2.048205,30.723074,15.0,LB
Lorenzo Carter,-0.161785,-2.103201,13.0,LB
Mack Wilson,-0.464744,-4.182693,9.0,LB
Malcolm Rodriguez,2.408633,50.581292,21.0,LB
Malik Reed,-0.094332,-0.848985,9.0,LB
Marquis Haynes,-0.305316,-3.358473,11.0,LB
Matt Judon,0.213457,1.921116,9.0,LB
Matt Milano,1.555609,35.779016,23.0,LB
Melvin Ingram,0.437843,4.378429,10.0,LB
Micah Parsons,-0.104527,-1.567899,15.0,LB
Mykal Walker,1.324902,41.071955,31.0,LB
Myles Jack,2.101765,56.747664,27.0,LB
Nicholas Morrow,0.568852,13.083599,23.0,LB
Nick Bolton,2.46976,39.516161,16.0,LB
Nick Vigil,2.11452,27.48876,13.0,LB
Odafe Oweh,-0.463068,-6.482946,14.0,LB
Patrick Queen,1.13154,22.630801,20.0,LB
Pete Werner,2.43853,68.278852,28.0,LB
Preston Smith,0.322425,3.869095,12.0,LB
Quay Walker,3.327539,26.620308,8.0,LB
Quincy Williams,1.303303,22.156154,17.0,LB
Rashaan Evans,1.119715,27.992882,25.0,LB
Rashad Weaver,-0.185322,-1.482575,8.0,LB
Rashan Gary,0.757967,7.579667,10.0,LB
Robert Quinn,-0.352354,-5.637666,16.0,LB
Robert Spillane,0.896023,13.440351,15.0,LB
Roquan Smith,1.438544,41.717789,29.0,LB
